"","person_id","daynum","n"
"1",2310151701,1,1
"2",2309611301,1,11
"3",2300013702,4,5
"4",2317518903,7,2
"5",2319879101,3,1
"6",2321373501,5,1
"7",2312205902,3,1
"8",2300768503,1,2
"9",2308246604,4,1
"10",2306921201,7,3
